consumer_muni,consumer_industry,consumer_cell,s_foreign_
167,s26,167s26,0.092345877063444
167,s27,167s27,0.0697513157417066
167,s28,167s28,0.0594351566591385
169,s01,169s01,0.1019249859097159
169,s02,169s02,0.082621633258454
169,s03,169s03,0.0864856115872077
169,s04,169s04,0.0805698737633977
169,s05,169s05,0.0669729633929082
169,s06,169s06,0.0831060496343709
169,s07,169s07,0.0555401929809662
169,s08,169s08,0.043559800972907
169,s09,169s09,0.0737671909992604
169,s10,169s10,0.0489259038632634
169,s11,169s11,0.0770676789485264
169,s12,169s12,0.0789862739004982
169,s13,169s13,0.0922692306511665
169,s14,169s14,0.0887853981208453
169,s15,169s15,0.0913154300825161
169,s16,169s16,0.0877764050569366
169,s17,169s17,0.0747515771722702
169,s18,169s18,0.06300256374707
169,s19,169s19,0.081056732152237
169,s20,169s20,0.059327354096616
169,s21,169s21,
169,s22,169s22,0.0853107985193568
169,s23,169s23,0.0350736618639633
169,s24,169s24,0.0748493844705374
169,s25,169s25,0.1216722908717891
169,s26,169s26,0.0884822625260585
169,s27,169s27,0.065887701204321
169,s28,169s28,0.055571542121753
173,s01,173s01,0.1271151372919859
173,s02,173s02,0.1078117846407238
173,s03,173s03,0.1116757629694776
173,s04,173s04,0.1057600251456674
173,s05,173s05,0.0921631147751781
173,s06,173s06,0.1082962010166408
173,s07,173s07,0.0807303443632361
173,s08,173s08,0.0687499523551768
173,s09,173s09,0.0989573423815303
173,s10,173s10,0.0741160552455333
173,s11,173s11,0.1022578303307963
173,s12,173s12,0.104176425282768
173,s13,173s13,0.1174593820334364
173,s14,173s14,0.1139755495031151
173,s15,173s15,0.1165055814647861
173,s16,173s16,0.1129665564392064
173,s17,173s17,0.0999417285545401
173,s18,173s18,0.0881927151293399
173,s19,173s19,0.1062468835345069
173,s20,173s20,0.0845175054788858
173,s21,173s21,0.0813143425761637
173,s22,173s22,0.1105009499016267
173,s23,173s23,0.0602638132462331
173,s24,173s24,0.1000395358528073
173,s25,173s25,0.146862442254059
173,s26,173s26,0.1136724139083283
173,s27,173s27,0.0910778525865909
173,s28,173s28,0.0807616935040228
175,s01,175s01,0.1037215083291178
175,s02,175s02,0.0844181556778558
175,s03,175s03,0.0882821340066096
175,s04,175s04,0.0823663961827995
175,s05,175s05,0.0687694858123102
175,s06,175s06,0.0849025720537728
175,s07,175s07,0.0573367154003681
175,s08,175s08,0.0453563233923089
175,s09,175s09,0.0755637134186623
175,s10,175s10,0.0507224262826652
175,s11,175s11,0.0788642013679283
175,s12,175s12,0.0807827963199
175,s13,175s13,0.0940657530705684
175,s14,175s14,0.0905819205402472
175,s15,175s15,0.093111952501918
175,s16,175s16,0.0895729274763384
175,s17,175s17,0.0765480995916721
