consumer_muni,consumer_industry,consumer_cell,flow,value
840,s08,r840_s08,Consumer natural resource rents paid,91617.9684569792
840,s09,r840_s09,Consumer natural resource rents paid,131748.1529877222
840,s10,r840_s10,Consumer natural resource rents paid,113575.99395493291
840,s11,r840_s11,Consumer natural resource rents paid,176421.37727666253
840,s12,r840_s12,Consumer natural resource rents paid,1013855.0393710444
840,s13,r840_s13,Consumer natural resource rents paid,509577.62621112337
840,s14,r840_s14,Consumer natural resource rents paid,342999.5017438946
840,s15,r840_s15,Consumer natural resource rents paid,1637008.6595371345
840,s16,r840_s16,Consumer natural resource rents paid,671612.7109201663
840,s17,r840_s17,Consumer natural resource rents paid,362686.0073627489
840,s18,r840_s18,Consumer natural resource rents paid,227151.987909866
840,s19,r840_s19,Consumer natural resource rents paid,623153.6201660597
840,s20,r840_s20,Consumer natural resource rents paid,136291.1927459195
840,s21,r840_s21,Consumer natural resource rents paid,8328.90622336172
840,s22,r840_s22,Consumer natural resource rents paid,1228135.0812993597
840,s23,r840_s23,Consumer natural resource rents paid,3719235.215377155
840,s24,r840_s24,Consumer natural resource rents paid,1862646.3008609435
840,s25,r840_s25,Consumer natural resource rents paid,124933.59335042622
840,s26,r840_s26,Consumer natural resource rents paid,1025212.6387665382
840,s27,r840_s27,Consumer natural resource rents paid,545921.9442767022
840,s28,r840_s28,Consumer natural resource rents paid,380858.1663955375
840,s01,r840_s01,Consumer natural resource rents received,218065.90839347133
840,s02,r840_s02,Consumer natural resource rents received,136291.1927459195
840,s03,r840_s03,Consumer natural resource rents received,275611.0786639702
840,s04,r840_s04,Consumer natural resource rents received,1037327.4114550648
840,s05,r840_s05,Consumer natural resource rents received,251381.5332869184
840,s06,r840_s06,Consumer natural resource rents received,95403.83492214362
840,s07,r840_s07,Consumer natural resource rents received,15143.465860657672
840,s08,r840_s08,Consumer natural resource rents received,91617.9684569792
840,s09,r840_s09,Consumer natural resource rents received,131748.1529877222
840,s10,r840_s10,Consumer natural resource rents received,113575.99395493291
840,s11,r840_s11,Consumer natural resource rents received,176421.37727666253
840,s12,r840_s12,Consumer natural resource rents received,1013855.0393710444
840,s13,r840_s13,Consumer natural resource rents received,509577.62621112337
840,s14,r840_s14,Consumer natural resource rents received,342999.5017438946
840,s15,r840_s15,Consumer natural resource rents received,1637008.6595371345
840,s16,r840_s16,Consumer natural resource rents received,671612.7109201663
840,s17,r840_s17,Consumer natural resource rents received,362686.0073627489
840,s18,r840_s18,Consumer natural resource rents received,227151.987909866
840,s19,r840_s19,Consumer natural resource rents received,623153.6201660597
840,s20,r840_s20,Consumer natural resource rents received,136291.1927459195
840,s21,r840_s21,Consumer natural resource rents received,8328.90622336172
840,s22,r840_s22,Consumer natural resource rents received,1228135.0812993597
840,s23,r840_s23,Consumer natural resource rents received,3719235.215377155
840,s24,r840_s24,Consumer natural resource rents received,1862646.3008609435
840,s25,r840_s25,Consumer natural resource rents received,124933.59335042622
840,s26,r840_s26,Consumer natural resource rents received,1025212.6387665382
840,s27,r840_s27,Consumer natural resource rents received,545921.9442767022
840,s28,r840_s28,Consumer natural resource rents received,380858.1663955375
840,s01,r840_s01,Consumer non-product taxes paid,21654902.167841107
840,s02,r840_s02,Consumer non-product taxes paid,21405241.60797497
840,s03,r840_s03,Consumer non-product taxes paid,37260811.40046988
840,s04,r840_s04,Consumer non-product taxes paid,189678274.90757668
840,s05,r840_s05,Consumer non-product taxes paid,46144690.04508792
840,s06,r840_s06,Consumer non-product taxes paid,10855074.782691216
840,s07,r840_s07,Consumer non-product taxes paid,4365158.662969027
840,s08,r840_s08,Consumer non-product taxes paid,26981863.71308271
840,s09,r840_s09,Consumer non-product taxes paid,48110631.2127936
840,s10,r840_s10,Consumer non-product taxes paid,29990019.803244803
840,s11,r840_s11,Consumer non-product taxes paid,23320415.929571588
840,s12,r840_s12,Consumer non-product taxes paid,213411516.54408944
840,s13,r840_s13,Consumer non-product taxes paid,162507272.5213847
840,s14,r840_s14,Consumer non-product taxes paid,54237135.22366709
840,s15,r840_s15,Consumer non-product taxes paid,364302738.0253448
840,s16,r840_s16,Consumer non-product taxes paid,167682835.81553727
840,s17,r840_s17,Consumer non-product taxes paid,112941243.46764736
840,s18,r840_s18,Consumer non-product taxes paid,41229028.05905129
840,s19,r840_s19,Consumer non-product taxes paid,104951570.44524956
840,s20,r840_s20,Consumer non-product taxes paid,43123097.41925044
840,s21,r840_s21,Consumer non-product taxes paid,1562926.8107784132
840,s22,r840_s22,Consumer non-product taxes paid,99529173.43993364
840,s23,r840_s23,Consumer non-product taxes paid,318474521.7289739
840,s24,r840_s24,Consumer non-product taxes paid,326147448.79157823
840,s25,r840_s25,Consumer non-product taxes paid,2717529.664148032
840,s26,r840_s26,Consumer non-product taxes paid,214010614.63841087
840,s27,r840_s27,Consumer non-product taxes paid,118359575.0792652
840,s28,r840_s28,Consumer non-product taxes paid,19094922.09367808
840,s01,r840_s01,Consumer other transfers paid,2839608.3905007984
840,s02,r840_s02,Consumer other transfers paid,1774755.244062999
840,s03,r840_s03,Consumer other transfers paid,3588949.4935496203
840,s04,r840_s04,Consumer other transfers paid,13507859.357590163
840,s05,r840_s05,Consumer other transfers paid,3273437.4501606426
840,s06,r840_s06,Consumer other transfers paid,1242328.6708440993
840,s07,r840_s07,Consumer other transfers paid,197195.02711811097
840,s08,r840_s08,Consumer other transfers paid,1193029.9140645715
840,s09,r840_s09,Consumer other transfers paid,1715596.7359275655
840,s10,r840_s10,Consumer other transfers paid,1478962.7033858325
840,s11,r840_s11,Consumer other transfers paid,2297322.065925993
840,s12,r840_s12,Consumer other transfers paid,13202207.065557107
840,s13,r840_s13,Consumer other transfers paid,6635612.66252432
840,s14,r840_s14,Consumer other transfers paid,4466467.364225201
840,s15,r840_s15,Consumer other transfers paid,21316782.431466997
840,s16,r840_s16,Consumer other transfers paid,8745599.452688009
840,s17,r840_s17,Consumer other transfers paid,4722820.899478734
840,s18,r840_s18,Consumer other transfers paid,2957925.406771665
840,s19,r840_s19,Consumer other transfers paid,8114575.365910083
840,s20,r840_s20,Consumer other transfers paid,1774755.244062999
