prod_sector,value,var_name,prod_muni_name
11,5506037.143278286,Producer dividends paid,Ballerup
12,33488575.59118222,Producer dividends paid,Ballerup
13,59821636.70624538,Producer dividends paid,Ballerup
14,3520814.3766603437,Producer dividends paid,Ballerup
15,435799543.709457,Producer dividends paid,Ballerup
16,188328186.47813597,Producer dividends paid,Ballerup
17,213786171.01468608,Producer dividends paid,Ballerup
18,0.0,Producer dividends paid,Ballerup
19,306402.47797804634,Producer dividends paid,Ballerup
20,4617236.513319949,Producer dividends paid,Ballerup
21,931234.8311026,Producer dividends paid,Ballerup
24,6889256.962627884,Producer dividends paid,Ballerup
26,4090639.968252931,Producer dividends paid,Ballerup
27,18065068.61808037,Producer dividends paid,Ballerup
77,0.0,Producer dividends paid,Ballerup
88,1.0265469594369852e-08,Producer dividends paid,Ballerup
99,0.0,Producer dividends paid,Ballerup
01,28554148.000000004,Producer exports,Ballerup
02,13587271.000000002,Producer exports,Ballerup
03,33173900.0,Producer exports,Ballerup
04,436708320.0,Producer exports,Ballerup
05,4824691.909373094,Producer exports,Ballerup
06,32522324.0,Producer exports,Ballerup
07,0.0,Producer exports,Ballerup
08,460061856.0,Producer exports,Ballerup
09,484647520.0,Producer exports,Ballerup
10,604352128.0,Producer exports,Ballerup
11,48888272.0,Producer exports,Ballerup
12,724726464.0,Producer exports,Ballerup
13,2103088896.0,Producer exports,Ballerup
14,19346352.0,Producer exports,Ballerup
15,19288180736.0,Producer exports,Ballerup
16,7497933824.0,Producer exports,Ballerup
17,250082064.0,Producer exports,Ballerup
18,5844062.5,Producer exports,Ballerup
19,12846323.0,Producer exports,Ballerup
20,98430960.0,Producer exports,Ballerup
21,33070430.666964475,Producer exports,Ballerup
24,9357364.000000002,Producer exports,Ballerup
26,2833217.2500000005,Producer exports,Ballerup
27,9171919.999999998,Producer exports,Ballerup
77,0.0,Producer exports,Ballerup
88,0.0,Producer exports,Ballerup
99,0.0,Producer exports,Ballerup
01,76840632.0,Producer imports,Ballerup
02,35295691.99999999,Producer imports,Ballerup
03,236173328.0,Producer imports,Ballerup
04,422138207.9999998,Producer imports,Ballerup
05,27383130.560679525,Producer imports,Ballerup
06,45683907.99999999,Producer imports,Ballerup
07,0.0,Producer imports,Ballerup
08,495484928.00000024,Producer imports,Ballerup
09,251602575.99999994,Producer imports,Ballerup
10,369617567.99999994,Producer imports,Ballerup
11,241702799.99999997,Producer imports,Ballerup
12,1025795519.9999998,Producer imports,Ballerup
13,1055286847.9999994,Producer imports,Ballerup
14,98353712.0,Producer imports,Ballerup
15,4071701248.000002,Producer imports,Ballerup
16,2120819071.9999964,Producer imports,Ballerup
17,182719871.9999999,Producer imports,Ballerup
18,18183786.000000004,Producer imports,Ballerup
19,8621106.0,Producer imports,Ballerup
20,114494056.0,Producer imports,Ballerup
21,16136649.067858227,Producer imports,Ballerup
24,155426415.99999994,Producer imports,Ballerup
26,38646728.0,Producer imports,Ballerup
27,289647680.0000002,Producer imports,Ballerup
77,110358.16406249983,Producer imports,Ballerup
88,572367.9999999969,Producer imports,Ballerup
99,1463897.624999996,Producer imports,Ballerup
01,12715274.359346887,Producer product taxes paid,Ballerup
02,12161498.651600106,Producer product taxes paid,Ballerup
03,2469905.6121566086,Producer product taxes paid,Ballerup
04,42945351.3236553,Producer product taxes paid,Ballerup
05,11070494.25707349,Producer product taxes paid,Ballerup
06,1512540.7047410402,Producer product taxes paid,Ballerup
07,0.0,Producer product taxes paid,Ballerup
08,58081443.95697055,Producer product taxes paid,Ballerup
09,5961445.626472781,Producer product taxes paid,Ballerup
10,6498171.349340243,Producer product taxes paid,Ballerup
11,6536624.94825815,Producer product taxes paid,Ballerup
12,35435520.12798701,Producer product taxes paid,Ballerup
13,39353403.76707002,Producer product taxes paid,Ballerup
14,12023638.958194913,Producer product taxes paid,Ballerup
15,68977232.76108441,Producer product taxes paid,Ballerup
16,84037788.01558223,Producer product taxes paid,Ballerup
17,129351221.85226649,Producer product taxes paid,Ballerup
18,12613301.141675409,Producer product taxes paid,Ballerup
19,895495.6317980067,Producer product taxes paid,Ballerup
20,4324466.993612539,Producer product taxes paid,Ballerup
21,1556631.4182456767,Producer product taxes paid,Ballerup
24,117805130.54646178,Producer product taxes paid,Ballerup
26,46002589.93833572,Producer product taxes paid,Ballerup
27,194169815.4790072,Producer product taxes paid,Ballerup
77,3406627.6977532785,Producer product taxes paid,Ballerup
88,36177923.78665856,Producer product taxes paid,Ballerup
99,45188807.27170971,Producer product taxes paid,Ballerup
01,511172.929674369,Producer sales to capital accumulation cell,Ballerup
02,10522339.299980037,Producer sales to capital accumulation cell,Ballerup
03,10514487.521527788,Producer sales to capital accumulation cell,Ballerup
04,65654483.20321766,Producer sales to capital accumulation cell,Ballerup
05,97889649.86064206,Producer sales to capital accumulation cell,Ballerup
06,994398.774787458,Producer sales to capital accumulation cell,Ballerup
07,0.0,Producer sales to capital accumulation cell,Ballerup
08,263530549.00411057,Producer sales to capital accumulation cell,Ballerup
09,242587169.8430569,Producer sales to capital accumulation cell,Ballerup
10,31825548.63493839,Producer sales to capital accumulation cell,Ballerup
11,11126083.596934186,Producer sales to capital accumulation cell,Ballerup
12,2236660269.9863067,Producer sales to capital accumulation cell,Ballerup
13,1373311739.9957445,Producer sales to capital accumulation cell,Ballerup
14,8662921.091483481,Producer sales to capital accumulation cell,Ballerup
15,2729017404.731342,Producer sales to capital accumulation cell,Ballerup
16,1012522889.5301127,Producer sales to capital accumulation cell,Ballerup
17,409745689.3297287,Producer sales to capital accumulation cell,Ballerup
18,8280666.347045211,Producer sales to capital accumulation cell,Ballerup
19,343608.003904846,Producer sales to capital accumulation cell,Ballerup
20,318314891.53682417,Producer sales to capital accumulation cell,Ballerup
21,607054.3265102223,Producer sales to capital accumulation cell,Ballerup
24,14238575.554431291,Producer sales to capital accumulation cell,Ballerup
26,71022194.400842,Producer sales to capital accumulation cell,Ballerup
27,34072650.498714715,Producer sales to capital accumulation cell,Ballerup
77,42325.883161721526,Producer sales to capital accumulation cell,Ballerup
88,0.0,Producer sales to capital accumulation cell,Ballerup
99,561451.49448113,Producer sales to capital accumulation cell,Ballerup
01,18892.076171875,Producer sales to government,Ballerup
02,62724848.0,Producer sales to government,Ballerup
03,4040385.25,Producer sales to government,Ballerup
04,309094175.99999994,Producer sales to government,Ballerup
05,1162338.5000000002,Producer sales to government,Ballerup
06,734926.8125,Producer sales to government,Ballerup
07,0.0,Producer sales to government,Ballerup
08,923231.3125,Producer sales to government,Ballerup
09,21851.826171875,Producer sales to government,Ballerup
10,0.0,Producer sales to government,Ballerup
11,3909618.500000001,Producer sales to government,Ballerup
12,93670456.0,Producer sales to government,Ballerup
13,114728568.0,Producer sales to government,Ballerup
14,157411152.0,Producer sales to government,Ballerup
15,57689708.0,Producer sales to government,Ballerup
16,55089132.0,Producer sales to government,Ballerup
17,6472054.0,Producer sales to government,Ballerup
18,155964367.99999997,Producer sales to government,Ballerup
19,9.56667613983154,Producer sales to government,Ballerup
20,11674765.0,Producer sales to government,Ballerup
21,3674721.25,Producer sales to government,Ballerup
24,2132228736.0,Producer sales to government,Ballerup
26,1067106880.0,Producer sales to government,Ballerup
27,2846107904.0000005,Producer sales to government,Ballerup
77,0.0,Producer sales to government,Ballerup
88,0.0,Producer sales to government,Ballerup
99,0.0,Producer sales to government,Ballerup
01,670453.4429909661,Producer dividends paid,Brøndby
02,28796700.50470894,Producer dividends paid,Brøndby
03,1336126.7187353943,Producer dividends paid,Brøndby
04,11427821.766848462,Producer dividends paid,Brøndby
05,5599784.103286048,Producer dividends paid,Brøndby
06,2674688.0131746475,Producer dividends paid,Brøndby
07,0.0,Producer dividends paid,Brøndby
08,0.0,Producer dividends paid,Brøndby
09,2987798.7821015986,Producer dividends paid,Brøndby
10,885777.2165767803,Producer dividends paid,Brøndby
11,0.0,Producer dividends paid,Brøndby
12,31106741.19094405,Producer dividends paid,Brøndby
13,19403475.8063708,Producer dividends paid,Brøndby
14,739065.0759963415,Producer dividends paid,Brøndby
15,35235380.61236448,Producer dividends paid,Brøndby
16,128098673.25867778,Producer dividends paid,Brøndby
17,17085856.616325773,Producer dividends paid,Brøndby
18,0.0,Producer dividends paid,Brøndby
19,85326.56234418144,Producer dividends paid,Brøndby
20,7543524.577659531,Producer dividends paid,Brøndby
21,8978775.144856675,Producer dividends paid,Brøndby
24,0.0,Producer dividends paid,Brøndby
26,4047666.571530325,Producer dividends paid,Brøndby
27,1979609.5052323,Producer dividends paid,Brøndby
77,0.0,Producer dividends paid,Brøndby
88,0.0,Producer dividends paid,Brøndby
99,0.0,Producer dividends paid,Brøndby
01,11609411.000000002,Producer exports,Brøndby
02,123666320.0,Producer exports,Brøndby
03,78730551.99999999,Producer exports,Brøndby
04,995267968.0,Producer exports,Brøndby
05,3169218.9183364613,Producer exports,Brøndby
06,26560766.000000004,Producer exports,Brøndby
07,0.0,Producer exports,Brøndby
08,19627576.0,Producer exports,Brøndby
09,84147488.0,Producer exports,Brøndby
10,5225403.500000001,Producer exports,Brøndby
11,27819022.0,Producer exports,Brøndby
12,720661952.0,Producer exports,Brøndby
13,619551488.0,Producer exports,Brøndby
14,11530313.999999998,Producer exports,Brøndby
15,1569878656.0,Producer exports,Brøndby
16,5052377600.0,Producer exports,Brøndby
17,29756456.000000004,Producer exports,Brøndby
18,4419101.999999999,Producer exports,Brøndby
19,3766282.25,Producer exports,Brøndby
20,159664991.99999997,Producer exports,Brøndby
