value,var_name,cust_sector,cust_muni_name
181897240.37456995,Consumer social benefits received,08,København
165082344.69582888,Consumer social benefits received,09,København
26875118.156956747,Consumer social benefits received,10,København
466318215.5717017,Consumer social benefits received,11,København
373901456.6178292,Consumer social benefits received,12,København
996615666.0506276,Consumer social benefits received,13,København
598420054.8559953,Consumer social benefits received,14,København
325796336.1999122,Consumer social benefits received,15,København
389254381.5727231,Consumer social benefits received,16,København
528200953.0894858,Consumer social benefits received,17,København
667380164.1676005,Consumer social benefits received,18,København
29308752.542642787,Consumer social benefits received,19,København
33181337.99423797,Consumer social benefits received,20,København
33717464.592968255,Consumer social benefits received,21,København
4253453561.144062,Consumer social benefits received,22,København
12693358801.865952,Consumer social benefits received,23,København
1991256390.8861156,Consumer social benefits received,24,København
876338566.0116313,Consumer social benefits received,25,København
1333188207.0887928,Consumer social benefits received,26,København
761119907.2292503,Consumer social benefits received,27,København
3786242466.947114,Consumer social benefits received,28,København
254802581.18173015,Consumer social contributions paid,01,København
371611063.67631733,Consumer social contributions paid,02,København
231160291.73032227,Consumer social contributions paid,03,København
1597841782.1306038,Consumer social contributions paid,04,København
260099138.74650306,Consumer social contributions paid,05,København
167526014.9380801,Consumer social contributions paid,06,København
233874239.0420146,Consumer social contributions paid,07,København
611097902.3694587,Consumer social contributions paid,08,København
380684438.42657316,Consumer social contributions paid,09,København
100914992.66308238,Consumer social contributions paid,10,København
378019496.1098822,Consumer social contributions paid,11,København
593739634.2198411,Consumer social contributions paid,12,København
2109434108.6404338,Consumer social contributions paid,13,København
519926505.26594996,Consumer social contributions paid,14,København
1149600500.0906456,Consumer social contributions paid,15,København
1033347973.6385245,Consumer social contributions paid,16,København
1484820127.9677148,Consumer social contributions paid,17,København
877342641.8839235,Consumer social contributions paid,18,København
65529773.82234946,Consumer social contributions paid,19,København
85394991.77786939,Consumer social contributions paid,20,København
191430055.545992,Consumer social contributions paid,21,København
283845518.06745374,Consumer social contributions paid,22,København
107856401.40270866,Consumer social contributions paid,23,København
2824368440.984368,Consumer social contributions paid,24,København
6501417.001837885,Consumer social contributions paid,25,København
2254078477.7926145,Consumer social contributions paid,26,København
1803232770.6288266,Consumer social contributions paid,27,København
146148183.4973174,Consumer social contributions paid,28,København
61335752.0,Surplus of owner-occupied housing to consumers,01,København
91530168.0,Surplus of owner-occupied housing to consumers,02,København
33324912.0,Surplus of owner-occupied housing to consumers,03,København
391184672.0,Surplus of owner-occupied housing to consumers,04,København
45315652.0,Surplus of owner-occupied housing to consumers,05,København
35182096.0,Surplus of owner-occupied housing to consumers,06,København
42569508.0,Surplus of owner-occupied housing to consumers,07,København
121326232.0,Surplus of owner-occupied housing to consumers,08,København
113770432.0,Surplus of owner-occupied housing to consumers,09,København
24163806.0,Surplus of owner-occupied housing to consumers,10,København
93299648.0,Surplus of owner-occupied housing to consumers,11,København
131257560.0,Surplus of owner-occupied housing to consumers,12,København
656816384.0,Surplus of owner-occupied housing to consumers,13,København
101431368.0,Surplus of owner-occupied housing to consumers,14,København
242686192.0,Surplus of owner-occupied housing to consumers,15,København
256245968.0,Surplus of owner-occupied housing to consumers,16,København
352021600.0,Surplus of owner-occupied housing to consumers,17,København
207117824.0,Surplus of owner-occupied housing to consumers,18,København
18701766.0,Surplus of owner-occupied housing to consumers,19,København
19193258.0,Surplus of owner-occupied housing to consumers,20,København
43326960.0,Surplus of owner-occupied housing to consumers,21,København
283147744.0,Surplus of owner-occupied housing to consumers,22,København
831351936.0,Surplus of owner-occupied housing to consumers,23,København
490541472.0,Surplus of owner-occupied housing to consumers,24,København
17321094.0,Surplus of owner-occupied housing to consumers,25,København
443407584.0,Surplus of owner-occupied housing to consumers,26,København
366451520.0,Surplus of owner-occupied housing to consumers,27,København
39472508.0,Surplus of owner-occupied housing to consumers,28,København
26385670.745361328,Consumer adjustment for pension entitlements received,01,Frederiksberg
54881889.04647064,Consumer adjustment for pension entitlements received,02,Frederiksberg
27989227.00914001,Consumer adjustment for pension entitlements received,03,Frederiksberg
279230679.862319,Consumer adjustment for pension entitlements received,04,Frederiksberg
30771307.296455383,Consumer adjustment for pension entitlements received,05,Frederiksberg
22311502.38879013,Consumer adjustment for pension entitlements received,06,Frederiksberg
31394588.23059082,Consumer adjustment for pension entitlements received,07,Frederiksberg
119618259.91526556,Consumer adjustment for pension entitlements received,08,Frederiksberg
71951512.4951067,Consumer adjustment for pension entitlements received,09,Frederiksberg
18017907.43005371,Consumer adjustment for pension entitlements received,10,Frederiksberg
59217345.54222298,Consumer adjustment for pension entitlements received,11,Frederiksberg
64083704.77576065,Consumer adjustment for pension entitlements received,12,Frederiksberg
417186652.679404,Consumer adjustment for pension entitlements received,13,Frederiksberg
68003922.32667923,Consumer adjustment for pension entitlements received,14,Frederiksberg
229820594.2941513,Consumer adjustment for pension entitlements received,15,Frederiksberg
200526219.38871,Consumer adjustment for pension entitlements received,16,Frederiksberg
356327376.842392,Consumer adjustment for pension entitlements received,17,Frederiksberg
134857335.6281929,Consumer adjustment for pension entitlements received,18,Frederiksberg
10381860.856939316,Consumer adjustment for pension entitlements received,19,Frederiksberg
12940611.766571045,Consumer adjustment for pension entitlements received,20,Frederiksberg
32256560.08581543,Consumer adjustment for pension entitlements received,21,Frederiksberg
-37166759.59050465,Consumer adjustment for pension entitlements received,22,Frederiksberg
-1137277259.524582,Consumer adjustment for pension entitlements received,23,Frederiksberg
401699525.20279217,Consumer adjustment for pension entitlements received,24,Frederiksberg
-350837.0531387329,Consumer adjustment for pension entitlements received,25,Frederiksberg
318913397.3765979,Consumer adjustment for pension entitlements received,26,Frederiksberg
326897279.33911514,Consumer adjustment for pension entitlements received,27,Frederiksberg
7041599.936000824,Consumer adjustment for pension entitlements received,28,Frederiksberg
11240450.11524858,Consumer dividends received,01,Frederiksberg
6578362.384824817,Consumer dividends received,02,Frederiksberg
5640833.36565904,Consumer dividends received,03,Frederiksberg
67487111.10665894,Consumer dividends received,04,Frederiksberg
2323389.09364569,Consumer dividends received,05,Frederiksberg
5013326.221388545,Consumer dividends received,06,Frederiksberg
1875638.561397722,Consumer dividends received,07,Frederiksberg
6504649.129764302,Consumer dividends received,08,Frederiksberg
55295927.287410654,Consumer dividends received,09,Frederiksberg
1033408.099291382,Consumer dividends received,10,Frederiksberg
16090919.65552452,Consumer dividends received,11,Frederiksberg
22969252.88360608,Consumer dividends received,12,Frederiksberg
168043870.238333,Consumer dividends received,13,Frederiksberg
13188173.62205712,Consumer dividends received,14,Frederiksberg
27444403.88093961,Consumer dividends received,15,Frederiksberg
47261162.54233861,Consumer dividends received,16,Frederiksberg
98984519.2298113,Consumer dividends received,17,Frederiksberg
64961323.31911252,Consumer dividends received,18,Frederiksberg
2120264.283990677,Consumer dividends received,19,Frederiksberg
3148411.264144287,Consumer dividends received,20,Frederiksberg
1449478.8782838811,Consumer dividends received,21,Frederiksberg
61594299.07546503,Consumer dividends received,22,Frederiksberg
188461185.0891677,Consumer dividends received,23,Frederiksberg
33539767.48596115,Consumer dividends received,24,Frederiksberg
1631550.097086871,Consumer dividends received,25,Frederiksberg
30757801.29141296,Consumer dividends received,26,Frederiksberg
17853147.03242666,Consumer dividends received,27,Frederiksberg
2542697.327507723,Consumer dividends received,28,Frederiksberg
-73805492.60177588,Consumer gross saving,01,Frederiksberg
40841547.615400314,Consumer gross saving,02,Frederiksberg
4567475.828195751,Consumer gross saving,03,Frederiksberg
753441774.395392,Consumer gross saving,04,Frederiksberg
44472197.8899163,Consumer gross saving,05,Frederiksberg
13779216.94862783,Consumer gross saving,06,Frederiksberg
36844798.22925621,Consumer gross saving,07,Frederiksberg
239120695.53995323,Consumer gross saving,08,Frederiksberg
178905436.0024947,Consumer gross saving,09,Frederiksberg
13883611.711326003,Consumer gross saving,10,Frederiksberg
-6009051.796387315,Consumer gross saving,11,Frederiksberg
81974802.65746939,Consumer gross saving,12,Frederiksberg
907530259.5464897,Consumer gross saving,13,Frederiksberg
98983304.46695721,Consumer gross saving,14,Frederiksberg
419026131.57629657,Consumer gross saving,15,Frederiksberg
502795767.2083063,Consumer gross saving,16,Frederiksberg
791556608.1204495,Consumer gross saving,17,Frederiksberg
236999893.90799832,Consumer gross saving,18,Frederiksberg
30232664.408508703,Consumer gross saving,19,Frederiksberg
17386933.56793496,Consumer gross saving,20,Frederiksberg
50634541.624267876,Consumer gross saving,21,Frederiksberg
-1426171199.337953,Consumer gross saving,22,Frederiksberg
-1136494102.034305,Consumer gross saving,23,Frederiksberg
611943393.7875204,Consumer gross saving,24,Frederiksberg
-89471939.36676532,Consumer gross saving,25,Frederiksberg
443337063.07754135,Consumer gross saving,26,Frederiksberg
595287015.6343026,Consumer gross saving,27,Frederiksberg
-97727235.92207414,Consumer gross saving,28,Frederiksberg
7456825.297865975,Consumer interest paid,01,Frederiksberg
9936651.035444936,Consumer interest paid,02,Frederiksberg
4450033.13505386,Consumer interest paid,03,Frederiksberg
51494694.774751075,Consumer interest paid,04,Frederiksberg
3818284.369164962,Consumer interest paid,05,Frederiksberg
3861674.7480625333,Consumer interest paid,06,Frederiksberg
3878710.112899679,Consumer interest paid,07,Frederiksberg
15390010.694396876,Consumer interest paid,08,Frederiksberg
14121613.098680327,Consumer interest paid,09,Frederiksberg
2367000.3479196806,Consumer interest paid,10,Frederiksberg
12434207.136790216,Consumer interest paid,11,Frederiksberg
13502431.596859468,Consumer interest paid,12,Frederiksberg
73346688.60767151,Consumer interest paid,13,Frederiksberg
11829696.60058998,Consumer interest paid,14,Frederiksberg
26049121.007773817,Consumer interest paid,15,Frederiksberg
30253443.087436907,Consumer interest paid,16,Frederiksberg
42353320.08334395,Consumer interest paid,17,Frederiksberg
22416816.94919387,Consumer interest paid,18,Frederiksberg
1634337.0360884331,Consumer interest paid,19,Frederiksberg
1659099.222493727,Consumer interest paid,20,Frederiksberg
3609966.4773537884,Consumer interest paid,21,Frederiksberg
24996576.986117937,Consumer interest paid,22,Frederiksberg
48084941.76519445,Consumer interest paid,23,Frederiksberg
55761293.78537219,Consumer interest paid,24,Frederiksberg
1916742.7489860414,Consumer interest paid,25,Frederiksberg
44801583.867870905,Consumer interest paid,26,Frederiksberg
41440832.666749045,Consumer interest paid,27,Frederiksberg
6991080.73793315,Consumer interest paid,28,Frederiksberg
658568.2939267771,Consumer interest received,01,Frederiksberg
1558603.9269806964,Consumer interest received,02,Frederiksberg
397242.5088963119,Consumer interest received,03,Frederiksberg
5272991.870583998,Consumer interest received,04,Frederiksberg
447474.1850974025,Consumer interest received,05,Frederiksberg
380343.5221768656,Consumer interest received,06,Frederiksberg
398753.099158881,Consumer interest received,07,Frederiksberg
