cust_sector,s_foreign_,cust_muni_name
06,0.0893420483761528,Furesø
07,0.061776191722748,Furesø
08,0.0497957997146889,Furesø
09,0.0800031897410423,Furesø
10,0.0551619026050452,Furesø
11,0.0833036776903083,Furesø
12,0.0852222726422799,Furesø
13,0.0985052293929483,Furesø
14,0.0950213968626271,Furesø
15,0.097551428824298,Furesø
16,0.0940124037987184,Furesø
17,0.080987575914052,Furesø
18,0.0692385624888519,Furesø
19,0.0872927308940188,Furesø
20,0.0655633528383978,Furesø
21,0.0623601899356757,Furesø
22,0.0915467972611387,Furesø
23,0.0413096606057451,Furesø
24,0.0810853832123193,Furesø
25,0.127908289613571,Furesø
26,0.0947182612678403,Furesø
27,0.0721236999461028,Furesø
28,0.0618075408635348,Furesø
01,0.1086349517911309,Allerød
02,0.0893315991398691,Allerød
03,0.0931955774686228,Allerød
04,0.0872798396448127,Allerød
05,0.0736829292743233,Allerød
06,0.089816015515786,Allerød
07,,Allerød
08,0.0502697668543221,Allerød
09,0.0804771568806755,Allerød
10,0.0556358697446785,Allerød
11,0.0837776448299416,Allerød
12,0.0856962397819133,Allerød
13,0.0989791965325816,Allerød
14,0.0954953640022604,Allerød
15,0.0980253959639313,Allerød
16,0.0944863709383517,Allerød
17,0.0814615430536854,Allerød
18,0.0697125296284851,Allerød
19,0.0877666980336521,Allerød
20,0.066037319978031,Allerød
21,,Allerød
22,0.092020764400772,Allerød
23,0.0417836277453783,Allerød
24,0.0815593503519525,Allerød
25,0.1283822567532042,Allerød
26,0.0951922284074736,Allerød
27,0.0725976670857361,Allerød
28,0.062281508003168,Allerød
01,0.1151310459886772,Fredensborg
02,0.0958276933374152,Fredensborg
03,0.099691671666169,Fredensborg
04,0.0937759338423589,Fredensborg
05,0.0801790234718695,Fredensborg
06,0.0963121097133322,Fredensborg
07,0.0687462530599275,Fredensborg
08,0.0567658610518683,Fredensborg
09,0.0869732510782217,Fredensborg
10,0.0621319639422247,Fredensborg
11,0.0902737390274877,Fredensborg
12,0.0921923339794595,Fredensborg
13,0.1054752907301278,Fredensborg
14,0.1019914581998065,Fredensborg
15,0.1045214901614775,Fredensborg
16,0.1009824651358978,Fredensborg
17,0.0879576372512315,Fredensborg
18,0.0762086238260312,Fredensborg
19,0.0942627922311983,Fredensborg
20,0.0725334141755772,Fredensborg
21,,Fredensborg
22,0.0985168585983182,Fredensborg
23,0.0482797219429246,Fredensborg
24,0.0880554445494987,Fredensborg
25,0.1348783509507504,Fredensborg
26,0.1016883226050197,Fredensborg
27,0.0790937612832822,Fredensborg
28,0.0687776022007141,Fredensborg
01,0.1151727720852074,Helsingør
02,0.0958694194339454,Helsingør
03,0.0997333977626992,Helsingør
04,0.0938176599388891,Helsingør
05,0.0802207495683997,Helsingør
06,0.0963538358098623,Helsingør
07,0.0687879791564577,Helsingør
08,0.0568075871483985,Helsingør
09,0.087014977174752,Helsingør
10,0.0621736900387549,Helsingør
11,0.0903154651240179,Helsingør
12,0.0922340600759897,Helsingør
13,0.1055170168266579,Helsingør
14,0.1020331842963367,Helsingør
15,0.1045632162580077,Helsingør
16,0.101024191232428,Helsingør
17,0.0879993633477617,Helsingør
18,0.0762503499225615,Helsingør
19,0.0943045183277285,Helsingør
20,0.0725751402721075,Helsingør
21,0.0693719773693853,Helsingør
22,0.0985585846948483,Helsingør
23,0.0483214480394547,Helsingør
24,0.0880971706460288,Helsingør
25,0.1349200770472806,Helsingør
26,0.1017300487015499,Helsingør
27,0.0791354873798124,Helsingør
28,0.0688193282972444,Helsingør
01,0.1110097897553116,Hillerød
02,0.0917064371040496,Hillerød
03,0.0955704154328034,Hillerød
04,0.0896546776089933,Hillerød
05,0.076057767238504,Hillerød
06,0.0921908534799666,Hillerød
07,0.0646249968265619,Hillerød
08,0.0526446048185027,Hillerød
09,0.0828519948448562,Hillerød
10,0.0580107077088591,Hillerød
11,0.0861524827941221,Hillerød
12,0.0880710777460939,Hillerød
13,0.1013540344967622,Hillerød
14,0.097870201966441,Hillerød
15,0.1004002339281119,Hillerød
16,0.0968612089025323,Hillerød
17,0.0838363810178659,Hillerød
18,0.0720873675926657,Hillerød
19,0.0901415359978328,Hillerød
20,0.0684121579422117,Hillerød
21,,Hillerød
22,0.0943956023649525,Hillerød
23,0.044158465709559,Hillerød
24,0.0839341883161331,Hillerød
25,0.1307570947173849,Hillerød
26,0.0975670663716542,Hillerød
27,0.0749725050499166,Hillerød
28,0.0646563459673486,Hillerød
01,0.1250630594014788,Hørsholm
02,0.1057597067502169,Hørsholm
03,0.1096236850789708,Hørsholm
04,0.1037079472551606,Hørsholm
05,0.0901110368846713,Hørsholm
06,0.1062441231261339,Hørsholm
07,0.0786782664727292,Hørsholm
08,0.06669787446467,Hørsholm
09,0.0969052644910234,Hørsholm
10,0.0720639773550263,Hørsholm
11,0.1002057524402894,Hørsholm
12,0.1021243473922612,Hørsholm
13,0.1154073041429295,Hørsholm
14,0.1119234716126083,Hørsholm
15,0.1144535035742793,Hørsholm
16,0.1109144785486995,Hørsholm
17,0.0978896506640332,Hørsholm
18,0.086140637238833,Hørsholm
19,0.104194805644,Hørsholm
20,0.0824654275883789,Hørsholm
21,0.0792622646856568,Hørsholm
22,0.1084488720111198,Hørsholm
23,0.0582117353557262,Hørsholm
24,0.0979874579623004,Hørsholm
25,0.1448103643635522,Hørsholm
26,0.1116203360178215,Hørsholm
27,0.0890257746960839,Hørsholm
28,0.078709615613516,Hørsholm
01,0.13137086236282,Rudersdal
02,0.1120675097115581,Rudersdal
03,0.1159314880403119,Rudersdal
04,0.1100157502165017,Rudersdal
05,0.0964188398460124,Rudersdal
06,0.1125519260874751,Rudersdal
07,0.0849860694340704,Rudersdal
08,0.0730056774260111,Rudersdal
09,0.1032130674523646,Rudersdal
10,0.0783717803163676,Rudersdal
11,0.1065135554016305,Rudersdal
12,0.1084321503536023,Rudersdal
13,0.1217151071042706,Rudersdal
14,0.1182312745739494,Rudersdal
15,0.1207613065356203,Rudersdal
16,0.1172222815100407,Rudersdal
17,0.1041974536253744,Rudersdal
18,0.0924484402001741,Rudersdal
19,0.1105026086053412,Rudersdal
20,0.0887732305497202,Rudersdal
21,0.085570067646998,Rudersdal
22,0.114756674972461,Rudersdal
23,0.0645195383170674,Rudersdal
24,0.1042952609236415,Rudersdal
25,0.1511181673248933,Rudersdal
26,0.1179281389791626,Rudersdal
27,0.0953335776574251,Rudersdal
28,0.0850174185748572,Rudersdal
